Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly) 
 11/24  18:00:00,2.68790076145,12.8086433053,0.0,11.8259873977,0.0,0.400194033818,0.400194033818,0.400194033818,0.90373593237,0.205936484082,0.542328589423,0.612305721759
 11/24  19:00:00,3.10633523735,12.39392407,0.0,11.2623521907,0.0,0.381192771498,0.381192771498,0.381192771498,1.23614458753,0.281683278625,0.489135393799,0.664779205901
 11/24  20:00:00,3.00946561077,12.6580948043,0.0,11.5022745917,0.0,0.389372344666,0.389372344666,0.389372344666,1.23614458753,0.281683278625,0.392682536045,0.686182863907
 11/24  21:00:00,2.89216115424,13.1690106956,0.0,12.0985161451,0.0,0.409615087279,0.409615087279,0.409615087279,1.14265468846,0.26037950125,0.346338960163,0.709772917085
 11/24  22:00:00,2.64073605852,13.1399499874,0.0,12.17620693,0.0,0.41230877003,0.41230877003,0.41230877003,0.966062661619,0.220139032875,0.325623250854,0.693202343145
 11/24  23:00:00,2.19665875605,13.4794032251,0.0,12.6913622229,0.0,0.429766435692,0.429766435692,0.429766435692,0.71675613924,0.163328959875,0.263529429942,0.599877791304
 11/24  24:00:00,1.77685213231,13.5771117458,0.0,12.977609082,0.0,0.439457932369,0.439457932369,0.439457932369,0.498612913219,0.113620146,0.180478502199,0.521282638521
 11/25  01:00:00,1.35273667439,13.6952865181,0.0,13.2780889927,0.0,0.449642880901,0.449642880901,0.449642880901,0.259694288664,0.059177159375,0.129642202726,0.431180142723
 11/25  02:00:00,1.18342434131,13.9643248947,0.0,13.6454883539,0.0,0.462067651213,0.462067651213,0.462067651213,0.155816494275,0.035506295625,0.109630566222,0.397003333973
 11/25  03:00:00,1.10621120279,14.166326898,0.0,13.8743535441,0.0,0.469790154219,0.469790154219,0.469790154219,0.103877702561,0.0236708606957,0.093072088551,0.392400396767
 11/25  04:00:00,1.09944528027,14.4425907046,0.0,14.1434658061,0.0,0.478896061796,0.478896061796,0.478896061796,0.103877702561,0.0236708606957,0.0827237830912,0.386876872121
 11/25  05:00:00,1.09910466879,14.5439112604,0.0,14.167575064,0.0,0.479721858551,0.479721858551,0.479721858551,0.103877702561,0.0236708606957,0.0961717004842,0.372262546493
